Country;Oil;Natural Gas;Coal;Nuclear energy;Hydro electric;Renew- ables;Total;CO2 Megatons
;;;;;;;;
Canada;4,26;4,05;0,50;0,87;3,42;0,54;13,63;517,7
Mexico;2,46;3,11;0,21;0,10;0,24;0,36;6,48;373,2
US;32,54;29,95;9,20;7,39;2,56;6,15;87,79;4457,2
;;;;;;;;
Argentina;1,03;1,58;0,03;0,09;0,27;0,13;3,15;164,1
Brazil;4,61;1,16;0,58;0,14;3,52;2,01;12,01;417,5
Chile;0,69;0,22;0,30;-;0,18;0,21;1,61;87,7
Colombia;0,55;0,50;0,27;-;0,39;0,05;1,77;92,7
Ecuador;0,40;0,02;-;-;0,22;0,01;0,65;30,7
Peru;0,40;0,25;0,02;-;0,27;0,05;1,00;44,6
Trinidad & Tobago;0,08;0,54;-;-;-;^;0,62;18,6
Venezuela;0,48;0,68;^;-;0,28;^;1,44;88,5
;;;;;;;;
Austria;0,48;0,31;0,09;-;0,36;0,14;1,38;55,3
Belgium;0,93;0,61;0,11;0,31;^;0,23;2,19;88,8
Czech Republic;0,37;0,30;0,49;0,27;0,02;0,09;1,54;85,1
Finland;0,35;0,07;0,13;0,21;0,14;0,19;1,10;39,0
France;2,68;1,46;0,19;3,14;0,54;0,68;8,70;251,1
Germany;4,21;3,12;1,84;0,57;0,17;2,21;12,11;604,9
Greece;0,51;0,21;0,11;-;0,03;0,14;1,00;58,2
Hungary;0,33;0,37;0,07;0,14;^;0,06;0,97;45,7
Italy;2,13;2,44;0,21;-;0,41;0,67;5,86;287,2
Netherlands;1,51;1,32;0,18;0,04;^;0,33;3,37;175,9
Norway;0,37;0,16;0,03;-;1,25;0,11;1,93;32,0
Poland;1,28;0,78;1,67;-;0,02;0,27;4,01;279,6
Portugal;0,41;0,22;0,02;-;0,11;0,17;0,93;41,3
Romania;0,44;0,41;0,15;0,10;0,13;0,10;1,33;66,3
Spain;2,21;1,17;0,07;0,52;0,24;0,77;4,97;220,4
Sweden;0,55;0,04;0,07;0,48;0,65;0,41;2,20;45,4
Switzerland;0,37;0,12;^;0,20;0,33;0,05;1,08;32,4
Turkey;1,82;1,67;1,66;-;0,69;0,45;6,29;369,5
Ukraine;0,45;1,06;0,98;0,68;0,06;0,09;3,31;177,4
United Kingdom;2,39;2,61;0,19;0,45;0,06;1,20;6,89;319,4
;;;;;;;;
Azerbaijan;0,18;0,43;^;-;0,01;^;0,62;34,1
Belarus;0,28;0,64;0,06;-;^;^;0,98;54,6
Kazakhstan;0,75;0,60;1,64;-;0,09;0,03;3,11;241,0
Russian Federation;6,39;14,81;3,27;1,92;1,89;0,04;28,31;1482,2
Turkmenistan;0,28;1,13;-;-;^;^;1,40;86,2
Uzbekistan;0,16;1,55;0,10;-;0,06;^;1,87;108,2
;;;;;;;;
Iran;3,31;8,39;0,07;0,06;0,19;0,01;12,03;678,2
Iraq;1,29;0,75;-;-;0,02;^;2,06;170,0
Israel;0,42;0,41;0,17;-;-;0,05;1,05;64,5
Kuwait;0,76;0,74;^;-;-;^;1,51;91,6
Oman;0,42;0,93;0,01;-;-;^;1,37;80,4
Qatar;0,45;1,26;-;-;-;^;1,71;87,7
Saudi Arabia;6,51;4,04;^;-;-;0,01;10,56;570,8
United Arab Emirates;1,51;2,51;0,11;0,01;-;0,05;4,19;245,9
;;;;;;;;
Algeria;0,72;1,55;0,02;-;^;0,01;2,30;148,6
Egypt;1,33;2,08;0,03;-;0,12;0,09;3,65;204,3
Morocco;0,50;0,03;0,28;-;0,01;0,06;0,88;62,8
South Africa;1,02;0,15;3,48;0,14;^;0,11;4,90;434,5
;;;;;;;;
Australia;1,83;1,47;1,69;-;0,13;0,45;5,57;372,3
Bangladesh;0,33;1,10;0,15;-;0,01;^;1,59;98,0
China;28,50;11,90;82,27;3,25;11,74;7,79;145,46;9899,3
China Hong Kong SAR;0,61;0,18;0,14;-;-;^;0,93;68,2
India;9,02;2,15;17,54;0,40;1,45;1,43;31,98;2302,3
Indonesia;2,81;1,50;3,26;-;0,17;0,37;8,10;579,9
Japan;6,49;3,76;4,57;0,38;0,69;1,13;17,03;1027,0
Malaysia;1,38;1,37;1,14;-;0,18;0,04;4,11;256,0
New Zealand;0,30;0,16;0,06;-;0,22;0,10;0,84;34,1
Pakistan;0,88;1,48;0,62;0,08;0,36;0,04;3,47;196,0
Philippines;0,75;0,14;0,73;-;0,06;0,15;1,82;127,4
Singapore;2,93;0,45;0,02;-;-;0,01;3,42;211,0
South Korea;4,90;2,04;3,03;1,42;0,03;0,36;11,79;577,8
Sri Lanka;0,21;-;0,07;-;0,04;0,01;0,33;20,8
Taiwan;1,89;0,90;1,63;0,28;0,03;0,09;4,82;275,9
Thailand;2,39;1,69;0,73;-;0,04;0,28;5,12;277,1
Vietnam;0,98;0,31;2,10;-;0,61;0,08;4,09;283,9
